post_id,title,text,user_name,user_followers,publish_time,view_count,comment_count,like_count,repost_count,sentiment,sentiment_label,weight,bert_label,bert_prob
397216765,,回复@张小元英: 去年底那段时间一样的，存储大家都说是模组没含金量，你可以看看兆易的那个相思林，那时候氛围和锂电一模一样哈哈哈，他也天天吐槽，那时候没人看锂电，然后3月dml和jbl一根大阴线杀跌，然后走出主升，和周五不能说一模一样，反正有相似度，不一样的是，存储有AI的大β带，锂电得靠自己，但是锂电的宁王在我们这，宁王今年应该有一波行情的，对应锂电也有，如果大家的数据推测没有问题，相信吧，强现实，弱预期，只输时间//@张小元英:回复@小猪呀冲冲冲:真的假的，没买过存储你们有经验的多说说,小猪呀冲冲冲,348,2026-06-28 18:08:11,5435,9,10,1,1,乐观,2.629154316064605,负面,0.47440127
397217452,,回复@小猪呀冲冲冲: 确实是这样的，去年底那波存储我是过来人，兆易创新天天上引线，股吧里一片骂声，没想到这几个月大反转。这波认识到认错不够快是我的弱点，卖了就不敢追了。//@小猪呀冲冲冲:回复@张小元英:去年底那段时间一样的，存储大家都说是模组没含金量，你可以看看兆易的那个相思林，那时候氛围和锂电一模一样哈哈哈，他也天天吐槽，那时候没人看锂电，然后3月dml和jbl一根大阴线杀跌，然后走出主升，和周五不能说一模一样，反正有相似度，不一样的是，存储有AI的大β带，锂电得靠自己，但是锂电的宁王在我们这，宁王今年应该有一波行情的，对应锂电也有，如果大家的数据推测没有问题，相信吧，强现实，弱预期，只输时间,巴菲特科,61,2026-06-28 18:19:10,10045,6,5,0,1,乐观,2.1625482910544345,负面,0.63049084
397219294,,回复@待到山花烂漫时123: 可惜新能源不是美国企业主导的，不然大A又会诞生出多少牛股。中国主导的产业基本上都是压榨供应商，最后一地鸡毛，光伏是最明显的例子。//@待到山花烂漫时123:回复@因思明见:扩产放在新能源上就是产能过剩，放在存储上就是营收利润将要大涨小甜甜和牛夫人的区别,涛哥哥牛,5,2026-06-28 18:48:59,4915,3,3,0,-2,极度悲观,1.8081643541425745,负面,0.464467
397219384,国家电投、中国华能、国家能源集团等央企“集齐”四川背后，一场5000万千瓦的硬仗怎么打？,（本文作者为 预见能源，钛媒体经授权发布）文 | 预见能源过去一年，四川省以一种近乎“集邮”的速度，把中国发电领域排得上号的企业全部拉进了自己的朋友圈。预见能源发现，从2025年6月国家能源集团、中国华电先后落子，到2026年6月26日中国华能、中国大唐、国家电投、三峡集团、中国电建五家集中签约，短短一年间，中央五大发电集团及水电主力企业悉数完成在四川的战略布点。这并非一场简单的招商仪式。四川省“十五五”规划明确画出一条硬线：新增新能源装机5000万千瓦以上。这是一个什么概念？2025年全年，四川新增风电光伏装机仅为300余万千瓦级别。从年增300万到年均1000万，这个量级跃升不是靠零散项目能完成的，必须引入国家队主力。央企入局四川的背后，是在考虑整个西南地区清洁能源的开发逻辑。这不是要不要建的问题，而是怎么建、怎么送、怎么消纳、怎么平衡各方利益的问题。5000万千瓦的底气与压力，四川为何要“集齐”央企四川不缺资源。水电装机规模已超1亿千瓦，约占全国四分之一。但“十五五”规划的目标是“清洁能源强省”，关键词从“水电”转向“水风光一体化”。预见能源从规划文本里看到，这轮布局把路径拆得很细：金沙江上游新增500万千瓦，雅砻江新增1500万千瓦，大渡河新增1200万千瓦。三大流域合计3200万千瓦，占新增总量六成以上。剩下的1800万千瓦分散在“三州”地区（凉山、甘孜、阿坝）的风电和光伏基地。那么问题来了。风电、光伏的间歇性和波动性是天然短板，光靠它们自己，电网受不了。解决方案是用水电的调节能力来“熨平”波动——以大型水电为骨干支撑电源，匹配风光资源一体化开发。比如，雅砻江流域的两河口、锦屏、二滩三大水库已投产清洁能源装机近2300万千瓦，在建约1200万千瓦，是目前全球最大的水风光一体化基地样本。但雅砻江的样本还只是样本。5000万千瓦的新增装机对电网外送能力和省内消纳能力提出了截然不同的要求。据预见能源所知，四川自1998年开启电力外送以来，累计外送电量已超2万亿千瓦时，但“十五五”期间，四川电网正从“大送端”向“送受并重”转变。既要畅通外送通道，又要保障省内用电，这个矛盾在过去一年已经开始显现。央企手里有什么？技术、资本、跨省协调能力、特高压通道的话语权。这些恰好是四川最缺的。所以不是四川在选择央企，而是这场能源转型本身就需要央地协同的体量。协议之外的难题，绿电要怎么“送得出、用得好”在签约仪式上，五家企业的协议文本高度趋同，包含清洁能源开发利用、能源基础设施建设、产业建圈强链、科技创新与成果转化、高端人才交流引育。但协议之外的难题才是真正的考验。第一个难题是外送通道。雅砻江流域规划装机7800万千瓦，全面建成后年发电量约2000亿千瓦时，能满足1.1亿个家庭的用电需求。但电发出来要有路送出去。甘孜州目前外送能力仅为2205万千瓦，到2030年计划提升至3000万千瓦以上。缺口很明显。规划中的阿坝北、甘孜中、甘孜南1000千伏特高压输变电工程以及陇电入川、疆电入川特高压通道，每一个都是百亿级的硬投资。第二个难题是调节能力。风光大规模接入后，电网的稳定性依赖储能。四川省已建成新型储能项目510个，装机256.6万千瓦，力争到2027年底达500万千瓦。但对比5000万千瓦的新增装机，这个储能配比仍然偏低。第三个难题便是利益分配。甘孜州提出建设“能源之州”，规划到“十五五”末清洁能源建成和在建装机突破9000万千瓦。资源在“三州”地区，消纳和收益却大量外流。怎么让地方政府和当地居民从能源开发中分到足够的“蛋糕”，是协议之外需要单独谈判的议题。民资入局释放的信号，宁德时代为何参股一座水电站央企密集入川的同时，一个细节值得单独拆开看。2025年12月，国电电力公告，宁德时代出资约4.58亿元，持股10%参与大渡河丹巴水电站项目。这座总装机115万千瓦、动态总投资152.73亿元的水电站，成为民营经济促进法施行后首个引入民间资本的百万千瓦级水电项目。宁德时代不是来做单纯财务投资的，更多是配合集团发展在谋篇布局。它在四川宜宾的电池生产基地是全球首家电池零碳工厂，80%以上能源来自水电。但欧盟《新电池法》要求动力电池出口提供全生命周期碳足迹声明，且仅认可“电力直接连接”模式，绿证购买不被承认。也就是说，宁德时代参股水电站，本质是锁定一条合规的绿电供应链。这件事的行业意义在于：它证明了绿电从“概念”变成了“成本项”。当出口合规需要实实在在的绿电直供时，下游产业会倒逼上游电源结构调整。国家能源局2025年发布的《关于有序推动绿电直连发展有关事项的通知》，首次从制度层面确认了“绿电直连+储能协同”模式。宁德时代参股水电站，就是这一模式的落地样本。这个逻辑可以往产业链上游再推一层。如果宁德时代这样的龙头企业需要绿电直供才能维持出口竞争力，那么四川5000万千瓦新能源装机的消纳就多了一个确定性出口——产业端的绿电需求，正在成为比跨省外送更稳定的消纳通道。氢能、算力与储能，央企“入川”后的想象空间协议文本中最有新意的一句话，来自国家电投的协议：“共同拓展绿电直连、零碳园区、绿色氢基能源等新业态”。其实，氢能在四川已经不只是规划。2025年12月，中石化与东方电气在自贡成立第三家氢能合资公司，注册资本8780万元，此前双方已在凉山、江西布局氢能全产业链项目，其中江西项目总投资达100亿元。总体来讲，四川水资源丰富，适合电解水制氢，这条技术路线正在从示范走向规模化。算力与能源的融合是另一个方向。雅砻江两河口水电站旁，国内首个高海拔岩洞式算力舱智算中心已投运，依托水电站及周边光伏实现全年100%绿电驱动，全年平均能源使用效率（PUE）可控制在1.2以下。这不是简单的“绿电给数据中心供电”，而是当下最火的“算电协同”——算力中心反哺电站，开发设备故障诊断、生产调度等专业大模型。储能方面，两河口混合式抽水蓄能电站正在建设，安装4台30万千瓦可逆式机组，加上已建成的水电常规机组，总装机420万千瓦。它扮演的角色是一个“超级充电宝”——光伏发电高峰时抽水蓄能，晚间风光出力不足时放水发电。这些新业态的共同特征是：它们不是传统的“发电-送电”模式，而是把清洁能源与具体产业场景绑定，形成闭环。对央企来说，这意味着在传统发电业务之外开辟了新的利润中心；对四川来说，这意味着清洁能源从“卖电”升级为“卖解决方案”。一年签约六家央企，四川把清洁能源开发的主力部队全部拉进了场。但真正的考验才刚刚开始。5000万千瓦的新增装机如何避免弃风弃光？特高压通道的建设节奏能否匹配电源投产？储能项目的经济性如何跑通？这些问题没有现成答案。央企入川带来的不只是资金和项目，还有技术路线选择和试错的空间。对四川而言，把朋友圈集齐只是第一步，真正要回答的是：当清洁能源从“配角”变成“主力”，整个电力系统的运行逻辑该怎么变。,钛媒体APP,52863,2026-06-28 18:50:14,8980,1,0,1,1,乐观,2.7605986189306173,正面,0.73683304
397220721,2026中报行情,市场极化状态下讨论中报貌似意义也不大。毕竟已经是熊市之中了。不过也可以看看不过可以确定的是科技股处于历史极高位。光，存储，元件，这些东西市场甚至已经计价业绩到2028年了，谈中报意义不大。7月预计科技股继续高位震荡，部分没有业绩的需要注意风险。其他方向最具确定性的应该是电池产业，因为今年储能行业爆发，电池需求比较好，产业链细分看，锂矿端，磷酸铁锂，电芯业绩确定性最强，最近因为资本的原因砸的比较凶，不过7月逢低可以适当博弈一下。其他没什么，地缘这块虽有反复，但中期选举前美国动作应该不会很大，本人继续认为为期一年多的牛市已经结束，后面科技股高高轮动行情也会结束，届时后面将更加难做，珍惜中报行情的机会吧。,2026年继续翻仓,606,2026-06-28 19:11:42,4660,0,2,0,1,乐观,2.35570654310932,正面,0.45650598
397221231,赛力斯张兴海：高端车的“五高标准”，离不开宁德时代,来源：新浪财经　　6月28日消息，赛力斯集团董事长张兴海近日在股东会上回应供应链策略时表示，问界“高安全、高可靠、高性能、高品质、高价值”的五高标准，离不开高端供应链。 　　他强调，赛力斯将“坚定与华为、宁德时代的战略约定不改变”，共同推进中国高端车高质量发展。,新浪财经,21239,2026-06-28 19:20:02,8174,1,5,0,1,乐观,3.666581964945362,正面,0.71443284
397221862,,过两年超快充彻底普及了，没人还会再关心换电。不必理会那些为换电摇旗呐喊的人，他们不会被你说服的，只有过两年后事实，才能教育他们,潜伏的edk,62,2026-06-28 19:30:08,4017,12,1,0,1,乐观,1.893542314482424,正面,0.4984691
397222672,,扩产利好全链条材料，从最源头硅片到能卡脖子的两用物项，如果想稳定供应链，肯定要配套中国国内产能的。设备不用说了，全是利好。之前说的新能源电力-&gt;词元出口线，这是战略级别的价值链，冗余的新能源电力转变成词元出口，完美的业务逻辑。完美打通了新能源消纳的堵点。Deepseek新技术很强，在降本上应用巨大。越来越觉得会在能源大基地旁边修数据中心了。低成本电力+低成本词元，这个要是开始席卷世界，美国本土投的硬件要变成一堆砖了。电网改造+能源结构变革+算电一体+电力词元出口，全世界可能只有我们能搞定这种系统性工程了。涉及生产力工具，词元肯定是越便宜越多人用。看了下最新数据，发电量已经占了全世界33%，如果搞定新能源电力-&gt;算力出口线，发电量占全世界50%都有很大可能性。是说投入20万亿，这个要是成了，就锁死其他国家的再工业化能力了。花这么多钱搞这个，性价比极高。,永不褪色的信笺,5066,2026-06-28 19:41:25,10889,0,5,0,2,极度乐观,3.123162028338753,正面,0.8615695
397223124,,回复@气质的盈利小湿度: 目前的电池技术，在大型SUV上，北方极寒地区，高频跑长途，，续航和补能的综合体验，离之前的燃油车仍然有差距，焦虑和不方便是客观存在的，所以增程和插混都还有生存的空间，等哪天那些问题都解决了，增程车自然会被市场淘汰//@气质的盈利小湿度:回复@不看图不看线:怎么续和话题无关，你的论点不是电池发展越来越好嘛,不看图不看线,83,2026-06-28 19:47:32,4011,0,0,0,0,中性,1.4840002813931925,正面,0.552234
397225428,,$宁德时代(SZ300750)$ 钙钛矿,沉福,12,2026-06-28 20:19:24,2116,0,2,0,1,乐观,1.8195154428170568,中性,0.5253344
